time,state
2025-01-09 16:55:36.529,0
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,0
2025-01-09 16:55:36.529,0
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,0
2025-01-09 16:55:36.529,0
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,1
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,2
2025-01-09 16:55:36.529,3
2025-01-09 16:55:36.529,3
2025-01-09 16:55:36.529,2
