time,state
2025-01-07 22:15:44.038,0
2025-01-07 22:15:44.038,0
2025-01-07 22:15:49.909,0
2025-01-07 22:15:49.909,1
2025-01-07 22:15:49.943,1
2025-01-07 22:15:49.943,2
2025-01-07 22:15:50.009,2
2025-01-07 22:15:50.009,3
2025-01-07 22:15:50.208,3
2025-01-07 22:15:50.208,2
2025-01-07 22:15:50.356,2
2025-01-07 22:15:50.356,1
2025-01-07 22:15:50.422,1
2025-01-07 22:15:50.422,2
2025-01-07 22:15:50.788,2
2025-01-07 22:15:50.788,1
2025-01-07 22:15:50.918,1
2025-01-07 22:15:50.918,2
2025-01-07 22:15:51.266,2
2025-01-07 22:15:51.266,1
2025-01-07 22:15:51.414,1
2025-01-07 22:15:51.414,2
2025-01-07 22:15:51.731,2
2025-01-07 22:15:51.731,1
2025-01-07 22:15:51.745,1
2025-01-07 22:15:51.745,2
2025-01-07 22:15:51.748,2
2025-01-07 22:15:51.748,1
2025-01-07 22:15:51.910,1
2025-01-07 22:15:51.910,2
2025-01-07 22:15:52.244,2
2025-01-07 22:15:52.244,1
2025-01-07 22:15:52.389,1
2025-01-07 22:15:52.389,2
2025-01-07 22:15:52.752,2
2025-01-07 22:15:52.752,1
2025-01-07 22:15:52.872,1
2025-01-07 22:15:52.872,2
2025-01-07 22:15:52.972,2
2025-01-07 22:15:52.972,3
2025-01-07 22:15:53.065,3
2025-01-07 22:15:53.065,2
2025-01-07 22:15:53.071,2
2025-01-07 22:15:53.071,3
2025-01-07 22:15:53.082,3
2025-01-07 22:15:53.082,2
2025-01-07 22:15:53.263,2
2025-01-07 22:15:53.263,1
2025-01-07 22:15:53.352,1
2025-01-07 22:15:53.352,2
2025-01-07 22:15:53.435,2
2025-01-07 22:15:53.435,3
2025-01-07 22:15:53.593,3
2025-01-07 22:15:53.593,2
2025-01-07 22:15:53.601,2
2025-01-07 22:15:53.601,3
2025-01-07 22:15:53.610,3
2025-01-07 22:15:53.610,2
2025-01-07 22:15:53.758,2
2025-01-07 22:15:53.758,1
